threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.47,0.9102844638949672,0.7479453710418178,0.7830084888070504,0.75,0.5238095238095238,0.616822429906542,0.927360774818402,0.9720812182741116,0.9491945477075588,66,60,22,766,CatBoost_ModelA,1,2020-2021
0.48,0.9091903719912473,0.7506445894770768,0.7829953630998865,0.7362637362637363,0.5317460317460317,0.6175115207373272,0.928311057108141,0.9695431472081218,0.9484792054624457,67,59,24,764,CatBoost_ModelA,1,2020-2021
0.49,0.9091903719912473,0.7573120618805897,0.786392676835226,0.7263157894736842,0.5476190476190477,0.6244343891402715,0.9304029304029304,0.9670050761421319,0.9483509645301804,69,57,26,762,CatBoost_ModelA,1,2020-2021
0.5,0.912472647702407,0.7692168237853516,0.7964909155682223,0.7346938775510204,0.5714285714285714,0.6428571428571429,0.9338235294117647,0.9670050761421319,0.9501246882793017,72,54,26,762,CatBoost_ModelA,1,2020-2021
0.51,0.9113785557986871,0.7685823060188542,0.7947348721147848,0.7272727272727273,0.5714285714285714,0.64,0.9337423312883436,0.9657360406091371,0.9494697442295695,72,54,27,761,CatBoost_ModelA,1,2020-2021
0.52,0.9113785557986871,0.7719160422206108,0.7962892135146811,0.7227722772277227,0.5793650793650794,0.6431718061674009,0.9348093480934809,0.9644670050761421,0.9494066208619613,73,53,28,760,CatBoost_ModelA,1,2020-2021
0.53,0.9102844638949672,0.7746152606558698,0.7960820590956086,0.7115384615384616,0.5873015873015873,0.6434782608695652,0.9358024691358025,0.9619289340101523,0.9486858573216521,74,52,30,758,CatBoost_ModelA,1,2020-2021
0.54,0.912472647702407,0.7825517685923777,0.8025235502549477,0.7169811320754716,0.6031746031746031,0.6551724137931034,0.9381188118811881,0.9619289340101523,0.949874686716792,76,50,30,758,CatBoost_ModelA,1,2020-2021
0.55,0.912472647702407,0.7858855047941342,0.8039657261740072,0.7129629629629629,0.6111111111111112,0.6581196581196581,0.9392059553349876,0.9606598984771574,0.9498117942283564,77,49,31,757,CatBoost_ModelA,1,2020-2021
0.56,0.9135667396061269,0.7931874949641446,0.8085061805992038,0.7117117117117117,0.626984126984127,0.6666666666666666,0.9414694894146949,0.9593908629441624,0.950345694531741,79,47,32,756,CatBoost_ModelA,1,2020-2021
